$\delta$,Error
0,1.0771362356260117
0,1.0930367216204981
0,1.6383605005675277
0,1.6306000415133346
0,0.9558803464939428
0,0.969822147727468
0,1.4567287641611628
0,1.1771203119424212
0,1.181397357425529
0,1.296190408154398
0,0.9568963996014805
0,0.9469288360298562
0,1.241110227323615
0,1.0143746587318339
0,1.0120742038069697
0,1.2666673416803453
0,1.0093399087548625
0,1.191636146459547
0,1.195577790803257
0,1.0488352275288229
0,1.0396183295851722
0,1.1622203316007063
0,1.1878096622269838
0,1.7235098723523818
0,0.9303344342569932
0,0.9169693350629058
0,1.754205197465867
0,0.8854178294414113
0,0.8783967866704543
0,1.5216213877607965
0,1.1530391478874535
0,1.146781371362576
0,1.373013275487006
0,1.375611409283725
0,0.932304242162894
0,1.3029679900856268
0,1.304354346888292
0,1.117652804688576
0,1.180534938351223
0,1.0560146779179744
0,1.0463086131437849
0,1.3169503401382856
0,0.9878308415526612
0,1.1648720502941523
0,1.1864867225098148
0,1.1579243312392056
0,1.8131098132469028
0,1.8309879444182273
1,1.1715968485390345
1,1.6045404404269936
1,1.3102981270035663
1,1.754411717617248
1,0.976238702994398
1,1.4814557432737574
1,1.3337296757831008
1,1.6130707364946733
1,1.0820078864778322
1,1.4258323448151107
1,1.1211523634696468
1,1.707364905846293
1,0.811857450022734
1,1.523199597138318
1,1.5713170496700881
1,0.7726726185462135
1,1.6458802128368188
1,1.2056520676077445
1,1.4678126481812208
1,0.915174467595168
1,1.6056403306356852
1,1.308907081917434
1,1.2732380664895806
1,1.063983733287453
1,1.5264650534748094
1,1.1800909120481642
1,1.439074759224116
1,0.9542867947380854
1,1.4944772350192235
1,1.2310184207574122
1,1.4338031370150266
1,1.2475499927152387
1,1.4445078881471651
1,1.2318246386728695
1,1.4456573507966906
1,1.2601906608787057
1,1.417476150133173
1,1.3722729136115346
1,1.4167914280708092
1,1.292704342328363
1,1.4270948413503455
1,1.2476513518351515
1,1.4705438996395206
1,1.2114645106786075
1,1.489166254086958
1,1.3416250885403895
1,1.500480262915917
1,1.2884758832992322
1,1.5159800604330405
1,1.3350827848244176
1,1.444647822118027
1,1.3428300691866009
1,1.4915028391646075
1,1.537997920437071
1,1.792839663694227
1,1.0750582946332794
1,1.7783647505028743
1,1.1142952100178096
1,1.735611342373413
1,1.0921996782608445
1,1.694136417214177
1,1.1256555624710964
1,1.645138424000642
1,1.1330196882778636
1,1.6459468914448607
1,1.2059196358600532
1,1.1393740217727222
1,1.7453470690775863
1,1.0498350936547391
1,1.3989799439921953
1,1.1657177082483485
1,1.4795699027701659
1,1.0326775400378263
1,1.4153669816608023
1,1.0573628733842793
1,1.575361651580113
1,0.9202665763601046
1,1.3671994549551578
1,1.1053699239328385
1,1.5611176612624675
1,0.9830403563289847
1,1.4952696221015407
1,1.1180219312118453
1,1.5930091660111838
1,1.0562360695300186
1,1.5440927149256582
1,1.0343970440304027
1,1.7012029323245403
1,0.8507138554072713
1,1.5362962946286824
1,1.0538633198830811
1,1.6397313737478167
1,0.951300311348526
1,1.493344374187469
1,1.23327065098569
1,1.6983564072510455
1,1.23327065098569
1,1.6983564072510455
1,1.3765204549236403
1,1.3520850504302422
1,1.2664931486583595
1,1.3205511015448779
1,1.2913687651331744
1,1.3350570896626566
1,1.281513875747218
1,1.3269881190300261
1,1.3542284091847712
1,1.3864095255503563
1,1.2767008866964213
1,1.363946110978924
1,1.2868195636812445
1,1.356443477158059
1,1.2097532409331513
1,1.2936107505142405
1,1.2704354652879672
1,1.2863449239800986
1,1.2699122265006273
1,1.2379215301455508
1,1.3137936617824169
1,1.2774908833386043
1,1.5275496243837918
1,0.9939629782487316
1,1.4926810143982836
1,0.9960890016208226
1,1.486645389046865
1,1.0232381387716896
1,1.4311759738223275
1,1.022402458238029
1,1.4289093045320398
1,1.0493583421545878
1,1.2111538747044055
1,1.8708385438931188
1,1.8559573626331056
1,1.579099296469577
1,1.178868286438267
1,1.5365702463541864
1,1.3321870239947162
1,1.3976387978041276
1,1.1385891582433088
1,1.4957012237369065
1,1.045279991811212
1,1.6038635331133722
1,1.1197218715319883
1,1.4485965628163462
1,1.3526423559188905
1,1.2282984076115142
1,1.2353813342483986
1,1.1586589736868584
1,1.053792271078232
1,1.4243134825806167
1,1.1691211303809774
1,1.494003262001158
1,1.2823560803368954
1,1.3345294577762299
1,1.3375774219389034
1,1.174897567671737
1,1.1395712464339862
1,1.1780681610738808
1,1.2697650076962168
1,1.1223316641978833
1,1.2507632316912671
1,1.1223316641978833
1,1.2507632316912671
1,0.9772267199478725
1,1.3841686836361677
1,1.10509471784139
1,1.3855313046920075
1,1.0795740088783057
1,1.3397261584175746
1,1.0098496471354266
1,1.4657311189887112
1,0.8722207654420667
1,1.460029994108945
1,0.9256681666342651
1,1.5490879390311112
1,0.9929562745781758
1,1.4885406271759962
1,0.9587856788950668
1,1.5547712415560695
1,1.0441653191132894
1,1.4547657053298926
1,1.1798880065384016
1,1.5351231143440787
1,1.062020957451553
1,1.5225915704969333
1,1.0052744999661283
1,1.6536936540954383
1,0.923620503015863
1,1.5911417717547471
1,1.2982698565889998
1,1.7703219238198444
1,1.2982698565889998
1,1.372752409561485
1,1.2329316317829189
1,1.3348073214626497
1,1.35190458894407
1,1.2530964893748655
1,1.3426448077121578
1,1.246382668985013
1,1.3394969656915143
1,1.187424050084215
1,1.2841168294223455
1,1.214185844636159
1,1.3953882180526513
1,1.0959444701434375
1,1.4138490410868165
1,1.0495804312270396
1,1.50758595607251
1,0.9224056081086058
1,1.3980550883231917
1,0.9898892408689718
1,1.4087287279734724
1,0.9898892408689718
1,1.3137936617824169
1,1.4106133605503801
1,1.077766900226642
1,1.3974194022951039
1,1.1123054186318744
1,1.4064930278549062
1,1.1265556229466764
1,1.4064930278549062
1,1.1265556229466764
1,1.730973552073858
1,1.5660708393095792
1,0.9536171749392628
1,1.7488982490313143
1,1.2763172347770395
1,1.4427789509235511
1,1.2602549186613
1,1.4092844760524113
1,1.446428737844331
1,1.3214118979350933
1,1.3549614938118597
1,1.2340138377556422
1,1.200866908712336
1,1.262921051311945
1,1.0311612664727334
1,1.5792014178006895
1,1.1973341805939743
1,1.3772649116978064
1,1.521651758543154
1,1.1588752371662392
1,1.3726422432253904
1,0.9868438515717654
1,1.1268161910557528
