$\delta$,Error
0,0.8418634299275869
0,0.9843587865817811
0,0.7575911756386354
0,0.8603271531173744
0,0.9036724915048383
0,0.7396315838588167
0,0.7759363051932139
0,0.9504995975119248
0,0.9340278330980787
0,0.9129440106895955
0,0.8647416424944236
0,0.8750379265980828
0,0.8453550998986924
0,0.7984695444774348
0,0.7981421295382851
0,0.9030438976790804
0,0.722161658186447
0,0.7180613910200294
0,1.100342572898175
0,0.7257891615360593
0,0.6940782377465833
0,0.7110198665765218
0,0.9823866100383319
0,0.8109201796410469
0,0.8307916503137723
0,0.8341144069123336
0,0.7472087332490503
0,0.8381492024095809
0,0.8058597591684185
0,0.7098682923225245
0,0.6682718837903378
0,0.8646201061724744
0,0.8237023351673272
0,0.6925195418810481
0,0.7039912597129538
0,0.8019991094247934
0,0.776721374524145
0,0.8306792942351586
0,0.7460506226343554
0,0.7837657957690698
0,0.9084539332110386
0,0.7303366157855911
0,0.9186469146057246
0,1.0166434664074555
0,0.8648529754759658
0,0.9132280540623581
0,0.8129028394460113
0,0.7238658578379418
1,0.8580037872918875
1,0.7476776612475636
1,0.8664496242669406
1,0.9169509060500061
1,0.9655446399553107
1,0.9291208655483444
1,0.861492422663394
1,0.8655638915223794
1,0.7640135065512811
1,0.716066040724138
1,0.9513654453537479
1,0.8560617919135517
1,0.7326452834778973
1,0.9707700148947533
1,0.9072239893103365
1,1.0302242586427939
1,0.7666675806553256
1,0.6923481823655288
1,1.00672921482824
1,0.703273290635333
1,0.708683541817175
1,0.8957453367896664
1,0.6749724522814071
1,0.7663101651072238
1,0.7535948684759
1,0.8596438051646165
1,0.9259202422255868
1,0.8492349942033185
1,0.8103510910167439
1,0.8423886430376442
1,0.7393237475052803
1,0.7073872774893843
1,0.7140078680408218
1,0.6572283828066068
1,0.5642291186999829
1,1.1260185590736338
1,0.760450850269264
1,0.8537716850426448
1,0.9365772028746652
1,0.9045768502169047
1,0.7938098366220214
1,0.8524151889699085
1,0.9162304913222872
1,0.6986509301932701
1,0.9404663010106411
1,0.914646796687901
1,0.7792203452498204
1,0.8335122957307683
1,0.8205694150295817
1,0.9451106448453596
1,0.7867571228764556
1,0.9337005088262719
1,0.9061748215921116
1,0.8320808838099878
1,0.9237960589323054
1,0.9149000200541823
1,0.9045872796171981
1,0.8332536715970351
1,0.9333752759947386
1,0.9182653073997149
1,0.8098768999821887
1,0.727074820951952
1,0.8063163524780342
1,0.7971296726331171
1,0.9314901951178833
1,1.0004013432361523
1,0.7973237676940962
1,0.8428974792221076
1,1.1114125847204654
1,0.976780419820555
1,0.8945792355908405
1,0.8339617057675944
1,1.0058614950407034
1,0.9507428822645762
1,0.8897299045002154
1,0.8390081735957082
1,0.8884769355668763
1,0.9155291651062555
1,0.9936604031836613
1,1.0084071696611518
1,0.9600621185573007
1,0.7693907364934898
1,0.7429501886206387
1,0.7213174362763524
1,0.7574993047296266
1,0.841563466249701
1,0.818559819530484
1,0.768253313357997
1,1.0239024759273327
1,1.0044266859669881
1,0.9577910129955451
1,0.9671808735412184
1,0.815816578136351
1,0.6715687457639941
1,0.5934285438111148
1,1.016058557983999
1,0.8691338561124081
1,0.7696133437367784
1,1.007458050743643
1,0.7049202755840686
1,0.6573113637220254
1,0.6516563918145546
1,0.7914808546301529
1,0.8098971068986914
1,0.8866181366796232
1,0.7777983670306325
1,0.9408387171544366
1,0.8836519154189375
1,0.8122234589896684
1,0.8929241323146353
1,0.8822854285347406
1,0.8869512663716186
1,0.7369716265017846
1,0.7501070896558992
1,0.7906117449544077
1,0.7002273057060853
1,0.7850520912433738
1,0.894470555384356
1,0.7667761701486123
1,1.0345277621085474
1,0.8431842637009895
1,0.9045102347544973
1,0.7975351174243334
1,0.9467379134829769
1,0.8788655998089567
1,0.8591645433594668
1,0.7962427389301455
1,0.8936447310003067
1,0.9214851667402382
1,0.9434014624652904
1,0.9393696484203353
1,0.9072903688248197
1,1.052772948839865
1,1.023807801835374
1,0.7489823707290021
1,0.9449390267156439
