$\delta$,Error
0,2.291347795488907
0,0.6711217204050444
0,0.7712040021826375
0,2.025732005020505
0,1.2536407691942035
0,1.2449532290054899
0,1.9018944725661524
0,1.4230716199803424
0,1.409943681634897
0,1.6404277274344248
0,1.2526877319265821
0,1.2892309580371697
0,1.7295899358904607
0,1.0995454909569262
0,1.2123262015971414
0,1.7117059522770741
0,1.051077122867527
0,1.6961907211126916
0,1.6919142345336933
0,1.3438457418705376
0,1.3145894730427345
0,0.9868116339193482
0,1.002768043257244
0,2.3477473761244014
0,2.291347795488907
0,1.0176500937904978
0,2.3462156561785057
0,2.30627269645613
0,0.760351998352173
0,0.760351998352173
0,0.8575296645500465
0,1.9482532534580697
0,1.3603964825917776
0,1.3485459930293686
0,1.3485459930293686
0,1.826869879045149
0,1.452748440969361
0,1.4398875522328758
0,1.4398875522328758
0,1.6195892925057276
0,1.2824427342752427
0,1.3164512187334545
0,1.3164512187334545
0,1.7676978635705438
0,1.1864474542412604
0,1.1864474542412604
0,1.291643218055023
0,1.6868544095049474
0,0.9146639882131666
0,0.9146639882131666
0,1.7819092289873986
0,1.783755918031619
0,1.3439960271119598
0,1.282515787112173
0,1.282515787112173
0,0.9934093063236041
0,1.0176500937904978
0,1.0176500937904978
0,1.409943681634897
0,1.6404277274343075
0,1.2526877319265821
0,1.2892309580371697
0,1.7295899358904607
0,1.0995454909569262
0,1.2123262015974585
0,1.7117059522771865
0,1.0510771228677098
0,1.6961907211124652
0,1.6919142345336933
0,1.3438457418705376
0,1.3145894730427345
0,0.9868116339193482
0,1.002768043257244
0,2.347747376124565
0,2.291347795488907
0,0.6711217204050444
0,0.7712040021826375
0,2.025732005020505
0,1.2536407691942035
0,1.2449532290054899
0,1.9018944725661524
0,1.4230716199803424
0,1.409943681634897
1,2.291347795488907
1,0.6711217204050444
1,0.7712040021826375
1,2.025732005020505
1,1.2536407691942035
1,1.2449532290054899
1,1.9018944725661524
1,1.4230716199803424
1,1.409943681634897
1,1.6404277274344248
1,1.2526877319265821
1,1.2892309580371697
1,1.7295899358904607
1,1.0995454909569262
1,1.2123262015971414
1,1.7117059522770741
1,1.051077122867527
1,1.6961907211126916
1,1.6919142345336933
1,1.3438457418705376
1,1.3145894730427345
1,0.9868116339193482
1,1.002768043257244
1,2.3477473761244014
1,2.291347795488907
1,1.0176500937904978
1,2.3462156561785057
1,2.30627269645613
1,0.760351998352173
1,0.760351998352173
1,0.8575296645500465
1,1.9482532534580697
1,1.3603964825917776
1,1.3485459930293686
1,1.3485459930293686
1,1.826869879045149
1,1.452748440969361
1,1.4398875522328758
1,1.4398875522328758
1,1.6195892925057276
1,1.2824427342752427
1,1.3164512187334545
1,1.3164512187334545
1,1.7676978635705438
1,1.1864474542412604
1,1.1864474542412604
1,1.291643218055023
1,1.6868544095049474
1,0.9146639882131666
1,0.9146639882131666
1,1.7819092289873986
1,1.783755918031619
1,1.3439960271119598
1,1.282515787112173
1,1.282515787112173
1,0.9934093063236041
1,1.0176500937904978
1,1.0176500937904978
1,1.409943681634897
1,1.6404277274343075
1,1.2526877319265821
1,1.2892309580371697
1,1.7295899358904607
1,1.0995454909569262
1,1.2123262015974585
1,1.7117059522771865
1,1.0510771228677098
1,1.6961907211124652
1,1.6919142345336933
1,1.3438457418705376
1,1.3145894730427345
1,0.9868116339193482
1,1.002768043257244
1,2.347747376124565
1,2.291347795488907
1,0.6711217204050444
1,0.7712040021826375
1,2.025732005020505
1,1.2536407691942035
1,1.2449532290054899
1,1.9018944725661524
1,1.4230716199803424
1,1.409943681634897
1,1.6245498621432484
1,1.3025570389848622
1,1.8533011063588947
1,1.8089728423085405
1,1.607820994941698
1,1.3020926387824998
1,1.7439063709671827
1,1.5859223184142006
1,1.569570578211163
1,1.4001010639958023
1,1.9484449153907661
1,1.7146720834624531
1,2.010663962827476
1,0.8482514035022114
1,1.2304719210694157
1,1.8986731990476922
1,1.3935896303075581
1,2.004740178974694
1,1.308431404759809
1,1.6504354700927488
1,1.4101618119207673
1,1.9068008187296628
1,1.4952824441246315
1,1.6437054505386894
1,1.8776309523122428
1,1.8166724359633688
1,1.8776309523122428
1,1.8166724359633688
1,1.400253863566756
1,1.517323890307728
1,1.4831072896509545
1,1.5800825794624358
1,1.6960330158380832
1,1.4948846171624584
1,1.7549713733636159
1,1.32160799575668
1,1.893559883908395
1,1.1477718376439263
1,1.8764960058675904
1,1.1844072489347228
1,2.098140202825411
1,1.0793738883029913
1,2.1229090550203944
1,1.2775670251953
1,2.203946054027268
1,1.2307549571541219
1,1.5839140070365116
1,1.6277457575830705
1,1.5839140070365116
1,1.6277457575830705
1,1.4371852873973423
1,1.413193873581242
1,1.8837901308392175
1,1.6104294050963637
1,1.8135908953741517
1,1.3959143430178018
1,2.054822797154144
1,1.2675299194656229
1,1.796110307113935
1,1.0072206955655743
1,1.9368156645547285
1,1.4279081647227476
1,1.8787427187906705
1,1.4443511545084717
1,2.312755623906966
1,1.396221692909417
1,1.1988196741514459
1,1.739582990401697
1,1.7150429157017075
1,2.3207544101234
1,1.9979585350318163
1,1.6080730987816203
1,1.680355249557573
1,1.1663264912570726
1,1.7236744118725391
1,1.239792502920273
1,1.667059021966736
1,1.1658750015514072
1,1.7726955484479
1,1.5131643423892014
1,1.9072296791618564
1,1.4172784307152724
1,2.1444055720937225
1,1.3639999556801887
1,2.048644024272592
1,0.9944120394411785
1,1.6483834905273977
1,1.0235781531381356
1,1.5072244304496805
1,1.6496055014148265
1,1.770557729767808
1,1.0854754038279182
1,1.1685283094399956
1,1.582313020695429
1,1.6323409785925742
1,1.0036318080327147
1,1.2160780158788724
1,1.6642163317885534
1,1.7082560762076298
1,1.2595057345264722
1,1.0122996393279131
1,1.7025749088486763
1,1.8140756356763081
1,1.53881475785397
