$\delta$,Error
0,0.557010679619294
0,0.7277142751863787
0,0.6478281670350777
0,0.8431883164729803
0,0.5042522951397047
0,0.5207707423833119
0,0.9434771910445154
0,0.3844712916440997
0,0.4094678506760093
0,0.7371788419951977
0,0.5293776137860152
0,0.48120398583925295
0,0.44425994581965617
0,0.6308418868160471
0,0.7884586217584877
0,0.7844772410804997
0,0.8076247453380211
0,0.44249134469258855
0,0.6421844113183955
0,0.5888308740209272
0,0.57466045524766
0,0.5242401101940771
0,0.6240217550479729
0,0.5561310736018068
0,0.7743162479762472
0,0.8712289476577848
0,0.8222762429426065
0,0.7607799029133706
0,0.668570973556621
0,0.7304110297226728
0,0.8777511039797766
0,0.8066446755388711
0,0.8743141254380791
0,0.8410144836217655
0,0.8339582974414271
0,1.230311472972097
0,1.2336595254757505
0,0.29514706278548564
0,0.41651545395001177
0,0.6296620537526254
0,0.33734729952765363
0,0.87717078264079
0,0.6723437725856799
0,0.5953287139681624
0,0.48243847527156036
0,0.42744484821487505
0,0.5967571147690401
0,1.0072253478244029
1,0.9905029034423788
1,0.5943884058771794
1,0.835122298587763
1,0.42764249853454606
1,0.7840389942228874
1,0.4242230096888354
1,0.8015626171015601
1,0.6426595769147944
1,0.8477051711881824
1,0.7236708630560114
1,0.9418919717976847
1,0.8518317234498498
1,0.9696381267110462
1,0.9677832125480645
1,0.7832682177892538
1,0.6195789066392228
1,0.8520596054517175
2,0.6787695174333411
2,0.7381936944112879
2,0.49032024776593774
2,0.6276395582148225
2,0.8660323543704199
2,0.37935765962497864
2,0.502445325001648
2,0.8362983622233751
2,1.0537767217669207
2,0.9330915162537141
2,0.649015400688139
2,0.9851993477247791
2,0.6261864390062225
2,1.037435326045773
2,0.6912958952971502
2,0.9517213802962773
2,0.4120927230607624
2,0.9362889103825126
2,0.9963144943801724
2,0.8987000293133788
2,0.9635336108003496
2,0.8903549978528789
2,0.9552062465260998
2,1.059207390051682
2,0.5460401653140243
2,0.9972111046161964
2,0.4131217183417191
2,1.005648129161749
2,0.43309089886781327
2,0.621142603569582
2,1.2520748192335671
2,0.6134272749186538
2,1.2330357824721643
2,1.080587218938335
2,0.7161624036722827
2,0.8435278790846611
2,0.6617218086687324
2,0.844023600526078
2,0.7374376675129775
2,0.8728012142402747
2,0.9774864599709803
2,0.5188662273592687
2,0.9858090329367418
2,0.9843631601893418
2,0.6813130517810991
2,0.5868579410608485
2,0.37690912105969576
2,0.5933203038226181
2,0.8850053046063043
2,0.6371657323902474
2,0.8172851436157552
2,0.601805230118526
2,0.524384603116421
2,0.6763629178110878
2,0.5514033015352661
2,0.6431844336089291
2,0.8389378200508364
2,0.8797095885692583
2,1.219747269811769
2,0.7682890500923224
2,0.9059976948510887
2,0.8023548001089568
2,0.6266202927750735
2,0.7753974655362045
2,0.65403298065119
2,0.7010921811992057
2,0.688390325565952
2,0.686389261954548
2,0.6996466668588872
2,0.5725531835118053
2,0.6282061755569789
2,0.48265379777919293
2,0.6559835385533025
2,0.5182915129115379
2,0.7078347436467688
2,0.9410568636974692
2,0.7614757309588657
2,0.9984270521460856
2,0.7778105264855445
2,0.5923227981110242
2,0.7969595500915195
2,0.6172532758381253
2,0.8585788993938956
2,0.6809003084634616
2,0.7404652890814936
2,0.550618346062461
2,0.5582189692573343
2,0.5426284921355905
2,0.8081367586053075
2,0.3934906623322437
2,0.7656209533461124
2,0.2969450003088662
2,0.7952856425205208
2,0.7802089347591256
2,0.8548500594347772
2,0.8402195098852641
2,0.8201630879096058
2,0.6513759928212911
2,0.6856817026279552
2,0.5253707584968852
2,0.5669375762861996
2,0.512185002594569
2,0.475985467852242
2,0.4332505036321439
2,0.6751407834195411
2,0.6613206694141122
2,0.7640735904508039
2,0.8597256066069926
2,0.7867074189496891
2,0.9542329306553731
2,0.7619257793691822
2,0.8933023986303954
2,0.882116901298078
2,0.9869489046570746
2,0.6270124253193529
2,0.6893095661234732
2,0.5965282591820534
2,0.6805597358589399
2,0.660633623916458
2,0.751370710817844
2,0.8076461573218159
2,0.6249089560477651
2,0.6783981597635029
2,0.7793927938583206
2,0.6442506338890979
2,0.7413604630996196
2,0.6850315456125657
2,0.7128662516888006
2,0.727558336085621
2,0.7224535750300135
2,0.7159583717799939
2,0.5620101273237127
2,0.7617169327752572
2,0.6214897859593
2,0.8783547648777781
2,0.8517385945616113
2,0.8434158505276865
2,0.8319492548585826
2,0.6588270442248464
2,1.0039047183839231
2,0.5690095118773248
2,0.7031575845537463
2,1.1086301218250216
2,0.8102998841669249
2,1.1897282161506804
2,0.9563677401949872
2,0.5199594273221517
2,0.8600812234509442
2,0.33999432358404547
2,1.0653145449960686
2,0.9556673275824367
2,1.0722750814163222
2,0.9123467313818335
2,1.1969429009120385
2,1.007735760522976
2,0.7252584151862695
2,0.4017530488463987
2,0.8243509492389043
2,0.6573900256602745
2,0.7072474402512576
2,0.5230944418725053
2,0.7653082352564594
2,0.613704410698974
2,0.958789983371641
2,0.9271835100371495
2,0.7841736693960296
2,0.675131429042941
2,0.6618428836452988
