$\delta$,Error
0,1.03176833881908
0,1.2894662305131184
0,0.900835468717876
0,1.2841352030877742
0,1.6094490222894218
0,1.059762589310255
0,0.918034420375021
0,1.2086852472105025
0,1.3619455089956904
0,0.9774442903389181
0,1.1666417302682264
0,1.3849177265886752
0,1.1674545817528614
0,1.1137407590598118
0,1.5249799253275698
0,0.9561694887494878
0,0.8472889110566931
0,1.4960675336624336
0,1.024351565219773
0,0.9133913981512406
0,1.2000737359532043
0,1.0239616936472689
0,1.070628838342143
0,1.0618035365589096
0,1.4969586945933564
0,1.0209776608679193
0,1.0035152235520852
0,1.1791003776917288
0,1.3103611264734114
0,1.106788853468084
0,1.2333520709684318
0,1.2158595098649343
0,0.9168310380459865
0,1.3807217943393955
0,1.411893818116432
0,0.79428667926488
0,0.9307659183911788
0,1.47208649696363
0,0.87589031078885
0,1.1388655185649121
0,1.4381877320784044
0,0.8470722868649919
0,1.2615695582280364
0,1.1355110399744255
0,1.1378450453360405
0,1.0055385867587496
0,0.8931675115077783
0,1.1717614148913131
1,1.3970994700071335
2,1.181716822227183
2,1.1606571282078477
2,1.2365388222297433
2,0.9740385944396648
2,1.2548303320842262
2,1.4359432826756773
2,0.9752581787587697
2,1.2005546421494488
2,1.233982042229276
2,1.3048457065867003
2,0.8918585133295781
2,1.1137902469374519
2,1.5013421090069206
2,1.2422258500411392
2,1.1865125670831906
2,1.0475367762554417
2,0.9517154369047223
2,1.3638907843408614
2,1.55562659211807
2,0.9622456888372978
2,1.0949394183749321
2,1.0898035426369037
2,1.3481192649795126
2,1.300925514130895
2,1.1837900358584232
2,1.0536263239234607
2,1.0767385266200875
2,1.1214929821501627
2,1.4578128184640424
2,1.351825036144734
2,1.2521503849944413
2,1.0027787158006136
2,1.3076576140108394
2,1.285808440680859
2,0.9696647481562741
2,1.3018754028548993
2,1.292467572192947
2,1.3210380885239874
2,1.2948030458265045
2,1.019322107671869
2,1.189891633135755
2,0.8282301957833657
2,1.30394507276465
2,1.1442447644905311
2,0.9642914595108925
2,1.2793590610952845
2,1.003037676680853
2,1.0097018457380331
2,0.9526241379618543
2,0.9065609958949163
2,1.2186909170332845
2,1.0418534913934536
2,1.3500559874774518
2,1.2878267628416598
2,0.8987081111136174
2,1.1653151247439748
2,1.0112909006379338
2,1.2988110373565425
2,1.2546650322625565
2,0.9899401697527831
2,1.1954331636303388
2,0.9765366954269313
2,1.3910909379799228
2,1.5514566674215233
2,1.233884208488183
2,1.1887133301985298
2,0.8996061872877491
2,1.739900371354088
2,1.0075258947241814
2,1.6321236163234027
2,0.8821540058444681
2,1.4796358050915308
2,1.1643238232151414
2,1.414882368408377
2,1.135694288845878
2,1.236868348553551
2,1.4024862897715746
2,1.1745048591419809
2,1.369260250061785
2,1.30311173825411
2,1.4714296986448063
2,0.9909362728439612
2,1.599332001791042
2,1.644017879218006
2,1.015899866604344
2,1.6101524673560998
2,0.8569295567825378
2,1.3425936548650266
2,1.1569623062522805
2,1.3332514379420533
2,1.3650843781859234
2,0.9873114680139979
2,1.118548380765391
2,1.2482634112609516
2,1.5159095346506604
2,1.0432099695133732
2,0.7936724626142609
2,0.9212544282588457
2,1.3745820804921633
2,1.4804832532258345
2,0.9594574159725434
2,1.085774310502724
2,1.358208311652031
2,1.4596710146884253
2,1.325560437289293
2,0.8136003130614591
2,1.104822996137232
2,1.2323559624717513
2,1.1308013862393549
2,0.9252543392545456
2,1.1050989650036576
2,1.0307467075716894
2,1.135131710464257
2,1.2844108534037553
2,1.1674673677761442
2,1.1792256414984235
2,0.9045885723660488
2,1.0294263834540789
2,0.954271549096605
2,1.2773719473225575
2,1.2291899102053379
2,1.4382109293262983
2,1.3118781794434207
2,1.1231942797298136
2,1.230469031151107
2,0.9723375192980338
2,1.1937914965180372
2,1.1895843326178726
2,1.586313122142141
2,1.2925608051347706
2,1.6893219286647372
2,1.3543580505149448
2,1.351966297357392
2,1.3168198663429411
2,1.788133828608909
2,1.468680804513639
2,1.498527006117479
2,1.1314040891223387
2,0.9308145690969748
2,0.8756645281917043
2,0.9839434792475851
2,1.190118651389067
2,1.0086429799195622
2,1.1996131354395392
2,0.9625572770549742
2,1.3760384523512137
2,1.2923459544979858
2,1.033663453287799
2,1.1209022418692351
2,0.8082424526232804
2,0.9295125393627678
2,0.9296174340483524
2,1.073103253868329
2,1.3177346088410442
2,0.8934101030237058
2,1.2184115787479746
2,1.3198980238751479
2,1.9122924034917095
2,0.9936988742931194
2,1.8333482771841219
2,0.7617266936602676
2,1.654565268700299
2,1.0655449129835017
2,1.7248226369379325
2,1.6223870958924473
2,1.1285003399784357
2,1.0870692009520637
2,1.327436676578702
2,1.3274635772267875
2,0.9114355752910648
2,1.0488588009855206
2,0.8894001404890809
2,1.2355088332696282
2,1.3617532106293573
2,1.3388094259310157
2,1.391084903934709
2,1.2081064669903507
2,1.0138927123837183
2,1.6816561235376777
2,1.7528928040291059
2,1.5209901597346158
2,0.833109672577721
2,1.3647632739314801
2,1.3712305941424332
2,0.8939945408292015
2,1.251150215128549
2,1.027350788294745
2,1.186663552746215
2,0.9881072453093478
2,1.0422098515553178
2,1.0235482869252732
2,1.2561374039082225
2,1.1942938302191017
2,1.3887065810736334
2,1.1224357426599714
2,1.0436825685930489
2,1.2381966953572736
2,0.9921210778608577
2,1.1576751853468594
2,1.027688671956337
2,1.4107983424602775
2,1.5958666862365047
2,1.4043855322941134
2,1.1878201184389372
2,1.1876615488333846
2,1.2802754040325053
2,0.9757546233807632
2,1.310605207992896
2,1.6491791899306465
2,1.4508979685918504
2,1.4538886385677376
2,1.2687647729262765
2,1.311956701744658
2,1.193428821047604
2,1.089231607836512
2,1.0884414613206108
2,0.9178001975350711
2,0.7966784533474722
2,0.9968534089023784
2,1.3387936187859621
2,1.2138154124268186
2,1.6211327780867704
2,1.6374584863435777
2,0.9215583917889634
2,1.165906912052926
2,1.2668447025570055
2,1.358595054237904
2,1.0194178600202268
2,1.1896358518375454
2,1.0989778283394043
2,1.5187949052031309
2,1.613653469509769
2,1.0480319409400563
2,1.2011500248977367
2,1.0861532187395826
2,1.3237650823578675
2,1.3373061258888024
2,0.8120819985212551
2,0.853883401038699
2,1.064508188027736
2,1.0839996672105328
2,1.3314804790255546
2,1.1310092879909945
2,1.0206851686112581
2,1.253836576822383
2,0.9320469976616745
2,1.0485453637920745
2,1.0176607297600224
2,1.3354842368406987
2,1.4248686782012807
2,1.299196542710027
2,1.1205933023876855
2,0.9896865088628731
2,1.2017408897112034
2,1.258813417998928
2,0.8630211880838051
2,1.2058272740549076
2,1.5120800541642294
2,1.5328810420032055
2,1.412825538851051
2,1.1469060911315587
2,1.7460631066121122
2,1.2621621924816115
2,1.4929053665734662
2,1.4274981866232275
2,1.6776169248692214
2,1.0350916346887271
2,0.919157288676031
2,1.0107782045352578
2,1.4254588792848641
2,1.4407529823357421
2,0.9758815322680755
2,1.1903826638365431
2,1.4030054899914743
2,1.5654715794178875
2,1.0512218398125337
2,0.9164206867428777
2,1.1530367828626018
2,1.4673898759411466
2,1.1015875206010641
2,1.0154528191077319
2,1.1743866875819335
2,1.0093782465271695
2,1.043868168242026
2,1.2386919601624355
2,1.2796498712438507
2,1.2298901410395808
2,1.0129136878442317
2,0.8899764220675851
2,1.2351583333877465
2,1.3197871747889476
2,0.9554492526748561
2,1.2703212411831108
2,1.3449223704597726
2,1.3584397873252778
2,1.2651272378548293
2,0.9797075057447334
2,0.9340112560787474
2,1.0706974012187847
2,1.4654937254308806
2,1.5762352852115273
2,1.8026175828595705
2,1.2436375730157676
2,1.0237778934865138
2,1.375435056456566
2,1.4720450972006338
2,1.0917441176319256
2,1.223463460050549
2,1.1298856287983758
2,1.1157740850036644
2,1.4656048838989422
2,1.4950145102905417
2,1.2686299617097065
2,0.960748623800516
2,1.1459498688913685
2,1.1574218776974223
2,0.8240408103046084
2,0.9960146725140102
2,1.2055246265283892
2,1.2422625366050717
2,1.1941401288384743
2,1.1220533294046398
2,0.9546957823302645
2,1.0132617130130483
2,1.3876188693108722
2,1.40103944003232
2,1.0916674495850744
2,1.2663398338248362
2,1.1252237120195423
2,1.1692389956521605
2,1.087975365414716
2,1.043106419324865
2,1.023568772838215
2,1.1558534454616405
2,1.3759516028286647
2,1.50891433677279
2,1.0568214136917848
2,1.4024305559421437
2,1.1410961355967375
2,0.913984881106976
2,1.4145043885562458
2,1.230705773179499
2,1.392841841404478
2,1.1212113607913807
2,0.9462527782359499
2,1.145904828888237
2,1.2197277797601336
2,1.5168799229025522
2,0.9810705657746256
2,1.1216649565781915
2,1.1989855507429825
2,1.1908992032150045
2,1.093994849145457
2,0.9728786002065093
2,0.7993807733327424
2,0.8063208574502287
2,1.2249800833849311
2,1.2786298775174196
2,0.9429415674045627
2,1.1429390653328275
2,1.045694686664745
2,1.0848735202222297
2,1.1052144680069709
2,1.0957368527662732
2,0.7827510469082559
2,1.004569854213917
2,1.3945488313297794
2,1.5407340408548094
2,1.1308727559273868
2,1.4278028999329642
2,1.191512239073818
2,1.1754684314593267
2,1.2025191396831534
2,1.099159339457931
2,0.9330741591429604
2,1.2488495534713249
2,0.9432949931024913
2,1.1937826134114484
2,1.0944483760754202
2,1.3799265739838495
2,0.8093733352134573
2,1.5093000711444928
2,1.2459976932777277
2,1.0984896050825748
2,1.5487926544613007
2,1.2740041265083764
2,1.4874857684377794
2,1.6722618367887212
2,1.671394774421675
2,1.0032475676963426
2,0.8459671407952165
2,1.0044146701744971
2,1.2154236500893667
2,1.2715237099364964
2,1.0999649545808652
2,1.1296391649653312
2,1.0500372641873326
2,1.0418159325038452
2,0.9764526630482981
2,1.3405929052863925
2,1.4867661882265741
2,1.3706663675787356
2,0.9705532351467573
2,0.9348754844898137
2,0.9277170370604433
2,1.0991913474329953
2,1.1424649289032787
2,1.392665729130044
2,1.0111228587826844
2,0.942157555542361
2,1.029667761816045
2,0.9222330550707866
2,0.8888765042574361
2,1.1553241091090642
2,0.9037342953203524
2,1.2176316184262077
2,1.2633354881433898
2,0.8016670610590737
2,1.3034532296457737
2,1.1285677779133578
2,0.920814231980718
2,1.108402558809286
2,1.0273063662340265
2,1.2105273569864805
2,1.9114037726615938
2,1.206621999546584
2,1.1004228317446532
2,1.0983649045479469
2,1.0275502155100567
2,1.6711245263879975
2,1.3180881221350047
2,1.26801630459557
2,0.8125789797908479
2,1.0111970568136104
2,1.2579883731499981
2,1.4633759790342893
2,1.6214194760732725
2,1.2567498310103427
2,1.1756786931905725
2,1.651709068924072
2,1.0884272207973944
2,0.8733011227746075
2,1.0475744018105315
2,1.2360505040836305
2,1.773170979356974
2,1.1214556617689346
2,0.812006092989322
2,0.8193923762968742
2,1.0594468156058856
2,1.2910803494288443
2,1.2098865206513283
2,1.5167798970059057
2,1.2388503179695305
2,1.7903230052687809
2,1.3829434826776668
2,1.4018631333401792
2,1.9189168684268125
2,1.584034764391003
2,1.2271879207306051
3,1.3355457502855779
3,1.462361134181687
3,0.8353686937829453
3,1.2977614782308127
3,1.3479595088872598
3,1.1301745569976256
3,1.1361396964538013
3,1.0776590878197814
3,1.1074753371689363
3,1.6411727745521074
3,1.3913702951551892
3,0.765425322237772
3,1.077652126779666
3,1.6224757940859578
3,1.036268719159373
3,0.7832088572384809
3,1.3295354962570498
3,1.5478942669478089
3,0.8888734389001179
3,1.3235019833497752
3,1.4899795403201062
3,0.8791164367460155
3,1.3306133413810917
3,0.9156360964601741
3,1.1635318218665214
3,1.0751463357638256
3,1.064919950177418
3,1.0617755625049075
3,0.984868240958436
3,1.0655689919979372
3,1.182297019169276
3,1.048940110278593
3,1.1461459882752543
3,1.4859673817081127
3,1.029922300909349
3,1.0382673216504177
3,1.2769078130855056
3,1.2939987200236176
3,1.0790150253493203
3,1.0015975962870038
3,1.6327481077198247
3,1.2786230041444653
3,1.01395902665299
3,1.1979400656405916
3,1.0616986381671116
3,0.9341917665914635
3,1.5294297055020045
3,0.893387484980146
3,1.2410645190009018
3,1.1805149749822181
3,0.947586900603439
3,1.1885216376650756
3,0.9658367502851435
3,1.09618516392486
3,1.413193590828542
3,1.3998238105115908
3,1.0637597452981373
3,1.2662868287762739
3,1.0497565512406946
3,1.1891868429566574
3,1.7353138904332381
3,1.7261582086446374
3,0.951456175018105
3,1.0797865355231167
3,1.0027584452058513
3,1.2988619682748301
3,1.3093020064276715
3,1.3377322574874857
3,1.161662706889729
3,1.3361323324470653
3,1.0644314891765507
3,1.392474896487816
3,1.4402516686116977
3,0.9990450842008765
3,1.4291167638508682
3,1.2215380679124306
3,1.2500090462999287
3,1.0869890046078885
3,1.0888086637083385
3,1.1703821886625816
3,1.008453460442092
3,1.3394228759270954
